number_of_features,cross_validation_score
314,0.9840765875375466
315,0.984295978866428
316,0.9844895846965536
317,0.9845076625208515
318,0.9845436492364152
319,0.98436115233742
320,0.9843995345998368
321,0.9844561097336607
322,0.9845215949219807
323,0.9845519627631345
324,0.9846764959100375
325,0.984778609218855
326,0.98481201384775
327,0.984884092660667
328,0.9847259110170048
329,0.9846583315020471
330,0.9845901489510421
331,0.9846543546556112
332,0.9845810720919264
333,0.9847325156409358
334,0.9847140669305212
335,0.9846298362488515
336,0.984661337253937
337,0.9846794384952189
338,0.9847172736387761
339,0.9849243819130402
340,0.9849265431800587
341,0.984735161409164
342,0.9846632509288147
343,0.9845721310705013
344,0.9846226308024615
345,0.9846928499846361
346,0.9847365034149398
347,0.9847967559865776
348,0.9847703344902335
349,0.9847506921328625
350,0.9848490103401671
351,0.9848284965220264
352,0.9847249928305087
353,0.9847038913088163
354,0.9846996097223044
355,0.9847486722131954
356,0.9847284641550924
357,0.9847525751468618
358,0.9847418256888147
359,0.9846326563106829
360,0.9846633656129434
361,0.984647458100449
362,0.9846321965781526
363,0.9846686099475725
364,0.9846436744681407
365,0.984733600762753
366,0.9846904674331339
367,0.9846667089062475
368,0.9846251056098589
369,0.9843903004627806
370,0.9844188335701869
371,0.9845415513432865
372,0.9844740389273765
373,0.9844964359434757
374,0.9845659359861496
375,0.9845461212039799
376,0.9845732099161285
377,0.9846566381691936
378,0.9846829911082855
379,0.9847025469953185
380,0.9846062031633478
381,0.9846250530189009
382,0.9846419093878328
383,0.9846326780696041
384,0.9846240675500801
385,0.9844797981381159
386,0.9845329286091069
387,0.9844939440615063
388,0.9845399988348179
389,0.9844431696932577
390,0.9845243809705444
391,0.9844774403076997
392,0.9844584694211072
393,0.9845257584119252
394,0.9845413980686212
395,0.9845446175553538
396,0.9844806336213562
397,0.9844419554800042
398,0.9843989708292622
399,0.9844147687876459
400,0.9843799994291643
401,0.9843663634711609
402,0.9844824298391008
403,0.9844557554276866
404,0.9844536473459662
405,0.9844282039866332
406,0.9843637617715235
407,0.9844652359997811
408,0.9844646241808885
409,0.9844562672709996
410,0.984429360874074
411,0.9845280535156975
412,0.9844257924684507
413,0.984367633107818
414,0.9843338044965575
415,0.9842807791417274
416,0.9842663725276204
417,0.9843458485622204
418,0.9842891615390992
419,0.9844927305796689
420,0.9845020147008142
421,0.9844672360787241
422,0.9844317933940576
423,0.9844600454986855
424,0.9844706446482501
425,0.984485549319313
426,0.9845575170168436
427,0.9845633364509808
428,0.9844986298033327
429,0.9845170964920001
430,0.9845141052046562
431,0.9844551062258011
432,0.9845779197115755
433,0.9846580014940797
434,0.9846651679602447
435,0.9846666606750997
436,0.9846588035650232
437,0.9846389675640694
438,0.9846775540107007
439,0.9847373838693139
440,0.9846835066598991
441,0.9846683017644784
442,0.984650565994167
443,0.9846739492472685
444,0.9846644099665343
445,0.984710221534432
446,0.9847042139237502
447,0.984729127781654
448,0.9846788853737785
449,0.9846655223922347
450,0.9846380307887014
451,0.984616315349524
452,0.984603285996711
453,0.984612096983097
454,0.9845780376960519
455,0.9845316350157443
456,0.9845252722524265
457,0.9845578791052836
458,0.9845070990945055
459,0.9845305505998482
460,0.984559214721558
461,0.9845724196752552
462,0.9845309055816294
463,0.9845681139318889
464,0.9845557168220122
465,0.9845887965979554
466,0.9844596426545011
467,0.9844752993488293
468,0.9844407826675697
469,0.9844836750844894
470,0.9844624067082435
471,0.9843809928577135
472,0.9844531271175139
473,0.9844713754793737
474,0.9844361811521944
475,0.9844013091267794
476,0.9844196034256545
477,0.9844344094673559
478,0.9843993816623003
479,0.9844290260375228
480,0.9844817622708234
481,0.9844698412002881
482,0.9844729633330875
483,0.9845288253258179
484,0.9845220875949334
485,0.9844756398694179
486,0.9844510016197733
487,0.9844047528407385
488,0.9843984412351732
489,0.9844007025950461
490,0.9843673559649286
491,0.9842658408601273
492,0.9841764222764826
493,0.9841948420673308
494,0.9842101981207249
495,0.9842093981194255
496,0.9841932446891747
497,0.9841294736593433
498,0.9841067150752645
499,0.9841008739156754
500,0.9840935172877533
501,0.9840799734136546
502,0.9840743272142717
503,0.9840723252630621
504,0.9840680454761902
505,0.9841304946258234
506,0.9841910003787454
507,0.9841410978295384
508,0.9841306534574598
509,0.984237020903401
510,0.9842468235347294
511,0.9842752558018635
512,0.9841798545102574
513,0.9841594450262929
514,0.9841329950575617
515,0.9841498101724145
516,0.9841192121031288
517,0.984066983498581
518,0.9841310443829743
519,0.9841404138395184
520,0.9841538430748829
521,0.9841900687750087
522,0.9841764148965476
523,0.9841656692608591
524,0.9843159230225608
525,0.9843291000250881
526,0.9843508956927514
527,0.9843848628380201
528,0.98439338887484
529,0.9844374139641643
530,0.98446896179988
531,0.984507644768674
532,0.9845478560628598
533,0.9845302373512945
534,0.9844221976721068
535,0.9844252077953
536,0.9844230477411106
537,0.9843419003144003
538,0.9843449032374053
539,0.9843085300709109
540,0.984303315644277
541,0.9843012528210242
542,0.984251660952715
543,0.9842577927746874
544,0.9842306390121875
545,0.984192455163344
546,0.9841725012899296
547,0.9841890569436874
548,0.9842174681667644
549,0.9842160948194746
550,0.9842088616371745
551,0.9843175578312173
552,0.9843896355309554
553,0.9844139081024048
554,0.9843914707855739
555,0.9843883604401722
556,0.9843913334330775
557,0.984410289762562
558,0.9844410026205855
559,0.9843980038063943
560,0.984371655371221
561,0.9844122357263864
562,0.9844188472154423
563,0.984430273873038
564,0.9844146907648474
565,0.9844023860700213
566,0.9844176821867139
567,0.984418559170712
568,0.9844042026261327
569,0.9844103309820046
570,0.9843921781921832
571,0.9844208553340554
572,0.984387516261768
573,0.9844094684911304
574,0.9843886056739553
575,0.9844255990403786
576,0.9844221984147403
577,0.9844580435079434
578,0.9844157735017547
579,0.9844039804694976
580,0.9844384516850504
581,0.984435012040924
582,0.9844601229662026
583,0.9845465774159441
584,0.9845395925531891
585,0.9845087304017476
586,0.9845124791929901
587,0.9845253410296984
588,0.9844910397732427
589,0.9845407413398265
590,0.9845570557281995
591,0.9846100369619633
592,0.984599480032909
593,0.9846008011961522
594,0.9846052944399293
595,0.9845648358836302
596,0.9845845665674811
597,0.9845657295386252
598,0.9845811590831278
599,0.9845869278077963
600,0.9845879261192578
601,0.9845399193177382
602,0.9845561183621401
603,0.9845747000041296
604,0.984489760742673
605,0.9845233402707081
606,0.9845083752898691
607,0.9844867091051974
608,0.9844660463461359
609,0.9844904618063473
610,0.9844724429087133
611,0.9844536830702527
612,0.9844732366094646
613,0.9844979872425013
614,0.9844850463188148
615,0.9844716019459477
616,0.9844563114515754
617,0.9844262333936964
618,0.9844136614744994
619,0.9844447337123402
620,0.9844974245083387
621,0.9843781274160573
622,0.9843838123292677
623,0.9843630542713248
624,0.9843653966817397
625,0.9843656147597356
626,0.9843836941007653
627,0.984370679948473
628,0.9843977818993517
629,0.9843681485240303
630,0.9843687755212714
631,0.9843475025692323
632,0.9843843018180453
633,0.9843502082965117
634,0.9843359453933058
635,0.9843500143433104
636,0.9843485118767676
637,0.9843689427217447
638,0.9843330731205728
639,0.9843465992340532
640,0.9843467948760338
641,0.9843424312790855
642,0.9843624962551919
643,0.9843398599508782
644,0.9843098219754296
645,0.9843343983901999
646,0.9843135426346429
647,0.9842907745626152
648,0.9842730945032588
649,0.9842476090355113
650,0.9842669843020844
651,0.9842609022300197
652,0.9842753259517878
653,0.9842910302993937
654,0.9842529779863426
655,0.9842733366781552
656,0.9842204011644545
657,0.9842320309251236
658,0.9842297968041663
659,0.9841962596077469
660,0.9841810682555403
661,0.9841925501312927
662,0.9841902144687751
663,0.9842020310416576
664,0.984257333054266
665,0.984227180782578
666,0.9842654367344446
667,0.9842589902507477
668,0.9842337588673555
669,0.9842391633144771
670,0.9842319890325248
671,0.9842333314705008
672,0.9842684923813845
673,0.9842093294896159
674,0.9842522208821961
675,0.9842368481012688
676,0.9842800903959563
677,0.9842777985336545
678,0.9842383414070568
679,0.9842609916922926
680,0.9842619873353409
681,0.9842556876671706
682,0.9842790109584202
683,0.9842901748202528
684,0.9842885379806352
685,0.9842879866323196
686,0.9842875562383562
687,0.9842744243717549
688,0.9842596985487454
689,0.9842279636984121
690,0.9842502173365002
691,0.9842304060667979
692,0.9842302658935678
693,0.9842209368721198
694,0.9842343896815725
695,0.9842145645207128
696,0.9842232995878067
697,0.9842002527993602
698,0.9842727866389911
699,0.9842581203452484
700,0.9842425067593112
701,0.984251261211659
702,0.9842377702715348
703,0.984272377190873
704,0.9842286712256391
705,0.9842351665519351
706,0.9842157611097371
707,0.9841885271752169
708,0.9842253975294039
709,0.9841792921756995
710,0.9841921534799225
711,0.9841938422146395
712,0.9841795717464734
713,0.9841544623461889
714,0.9841554148156287
715,0.9841776237689939
716,0.9841669791904664
717,0.9841703853030577
718,0.9841619306703931
719,0.9841653982128247
720,0.9841649967488767
721,0.984165927472796
722,0.9841771063320544
723,0.9841598091878122
724,0.9841620900493648
725,0.9841409422864904
726,0.9841357052523222
727,0.9841256609307258
728,0.9841358455803594
729,0.9841443792533726
730,0.9841395428602873
731,0.9841446008358767
732,0.9841116445378114
733,0.9840820344098915
734,0.9840722236825024
735,0.9841054858576047
736,0.9841061157594801
737,0.9841244488631629
738,0.984098359364767
739,0.9840984508002716
740,0.9841000991011544
741,0.9841215398542038
742,0.9841263131005199
743,0.9841029523036064
744,0.9840956277462724
745,0.9841094853458374
746,0.984102424443973
747,0.9840965124383552
748,0.9840731505789945
