number_of_features,cross_validation_score
169,-1.5382838703186483
170,-1.5418226218574766
171,-1.5326807608097197
172,-1.5336663819629792
173,-1.5302472150567732
174,-1.5276285805991523
175,-1.5271053545400581
176,-1.5296660969041578
177,-1.5337411541273211
178,-1.5264950797912442
179,-1.5308908713873293
180,-1.5256961267161284
181,-1.5767185194073368
182,-1.5693193029323655
183,-1.5702985016525275
184,-1.5707361977120387
185,-1.5698304972281703
186,-1.570977167401869
187,-1.5695992138844306
188,-1.572166250850369
189,-1.5612439836033931
190,-1.5849458664730516
191,-1.5868387171017133
192,-1.590345831349307
193,-1.586325296127556
194,-1.593509384644096
195,-1.596608665276746
196,-1.5969898652027614
197,-1.597832215877377
198,-1.594825578949199
199,-1.5966218486507793
200,-1.5947047882032093
201,-1.5922378676475604
202,-1.5921557421671897
203,-1.5945752579262076
204,-1.5950257286565728
205,-1.583561568003065
206,-1.5734000504228816
207,-1.573158605611456
208,-1.5765103128609468
209,-1.583215989854942
210,-1.5782196488712192
211,-1.5837617125923857
212,-1.5794809748360414
213,-1.5840129069596882
214,-1.579361631288217
215,-1.5754586659143297
216,-1.5736144759512762
217,-1.5748919704144448
218,-1.5716990622890394
219,-1.5729394772973961
220,-1.5938210179870924
221,-1.5976102612996335
222,-1.5970752619502266
223,-1.6033757107770856
224,-1.6027211743801453
225,-1.5986851111317368
226,-1.5988708610027484
227,-1.6004257088278326
228,-1.6011970575292154
229,-1.5987735811621124
230,-1.5911358275549703
231,-1.5862547538073712
232,-1.5936568953534198
233,-1.5931261003351829
234,-1.5960791044638536
235,-1.588691313599525
236,-1.5925519942890536
237,-1.591760873900856
238,-1.585431995324989
239,-1.6000075475005597
240,-1.6060929160830564
241,-1.6128293524915793
242,-1.6135607384884918
243,-1.614418599763455
244,-1.6041055530913044
245,-1.602617340124717
246,-1.6048882921015508
247,-1.5985725927430892
248,-1.611820543350157
249,-1.6001165890439601
250,-1.6058624273964899
251,-1.606571956805538
252,-1.6043908892291259
253,-1.5959808196277794
254,-1.6031386447009364
255,-1.597434337999225
256,-1.6003117656258408
257,-1.5985246050090143
258,-1.6043203630144152
259,-1.6028151511479192
260,-1.6070627386577065
261,-1.6010937189018422
262,-1.6001007822081803
263,-1.6025877136227238
264,-1.598358374991979
265,-1.5994172313184098
266,-1.5979550164599914
267,-1.5967876411450965
268,-1.5935803743105452
269,-1.5959906922442526
270,-1.5945860429839789
271,-1.592963436667835
272,-1.5874269061828743
273,-1.5911376098964527
274,-1.5941475558134406
275,-1.5845513266201339
276,-1.5861078389144403
277,-1.590620065284117
278,-1.5874696493236877
279,-1.5819765570497175
280,-1.5889497421664385
281,-1.5824659700516084
282,-1.5413409237400124
283,-1.5429977589871373
284,-1.548119159851317
285,-1.5412618594564622
286,-1.5452253432025311
287,-1.542468577023626
288,-1.5459100473605951
289,-1.5382947412618324
290,-1.543533771636617
291,-1.5369355481971128
292,-1.537580688288108
293,-1.5325400760586654
294,-1.5423391707495253
295,-1.5338776466344946
296,-1.5291365745418886
297,-1.5367354222525587
298,-1.537910630850686
299,-1.5326939913382767
300,-1.537695041758524
301,-1.5377295443090542
302,-1.5496351159605104
303,-1.5365637837942028
304,-1.530788738195037
305,-1.5295681101847616
306,-1.535745444830156
307,-1.5345800130006584
308,-1.5387822290004112
309,-1.529683423363573
310,-1.5372180718676431
311,-1.5352979481063258
312,-1.5295394274700984
313,-1.5292765920618505
314,-1.5329835859913516
315,-1.532250497180282
316,-1.5296551982628679
317,-1.524424338505637
318,-1.527597242681431
319,-1.5267776563114457
320,-1.5287985389346936
321,-1.529373756344877
322,-1.5232018382143628
323,-1.5678005181782768
324,-1.5680417011161851
325,-1.5807906166497219
326,-1.5616298459307372
327,-1.5685181419764458
328,-1.5656936736938145
329,-1.5570958882769579
330,-1.552485758043589
331,-1.5594598926793468
332,-1.5582091088586139
333,-1.6782231612052292
334,-1.6863483180616163
335,-1.6801081758814156
336,-1.682701954809146
337,-1.6777937688365832
338,-1.6913920147960693
339,-1.6969457461755888
340,-1.6960893201679395
341,-1.6881984357835293
342,-1.6947439367142714
343,-1.6925415358423517
344,-1.6850835336839687
345,-1.6860258902157448
346,-1.6899350210753101
347,-1.6906274229032185
348,-1.689817610651771
349,-1.6882626625770822
350,-1.689119046327367
351,-1.6889675055316034
352,-1.6871158873906176
353,-1.6876298624875357
354,-1.684992818406796
355,-1.6870242809532088
356,-1.6819881723523864
357,-1.6854311719181965
358,-1.6773738677704848
359,-1.679963660249241
360,-1.6820881564674246
361,-1.6837826657321375
362,-1.6811780016373572
363,-1.678653896957647
364,-1.6790911163432714
365,-1.679331201430952
366,-1.6761338692203698
367,-1.6741829683007168
368,-1.6792328690529446
369,-1.6961201666237866
370,-1.6970199230682848
371,-1.6898683252569016
372,-1.6943428317367517
373,-1.6916013683298274
374,-1.687022470013535
375,-1.691414451991297
376,-1.6929496887915931
377,-1.6941525743597716
378,-1.6899660347625294
379,-1.691716814306411
380,-1.6895274673596012
381,-1.6936021986628091
382,-1.701945725553749
383,-1.6884903159241955
384,-1.6895475520034862
385,-1.7012630335060828
386,-1.7008134979893488
387,-1.692911636915089
388,-1.6912303626301355
389,-1.6929279718126407
390,-1.6945863820037936
391,-1.6960039249629084
392,-1.6964588898323936
393,-1.6988929184413997
394,-1.6947548801616221
395,-1.7028018740677187
396,-1.7012272311351275
397,-1.6964968190110121
398,-1.6939564101629014
399,-1.696371081809551
400,-1.6977066680622535
